ship,port,status,arrivalDate,arrivalTime,departureDate,departureTime,guestCount,crewCount
Coral Discoverer,Kaikoura,CANCELLED,02/12/2019,07:00:00,02/12/2019,19:00:00,72,20
Sea Princess,Napier,ON SCHEDULE,02/12/2019,07:00:00,02/12/2019,14:00:00,2016,839
Golden Princess,Tauranga,ON SCHEDULE,02/12/2019,07:00:00,02/12/2019,18:15:00,2636,1073
Coral Discoverer,Akaroa,ON SCHEDULE,03/12/2019,07:00:00,03/12/2019,15:00:00,72,20
Golden Princess,Auckland,ON SCHEDULE,03/12/2019,07:00:00,03/12/2019,14:00:00,2636,1073
Celebrity Solstice,Bay Of Islands,ON SCHEDULE,03/12/2019,08:30:00,03/12/2019,17:00:00,2850,1250
Sea Princess,Tauranga,ON SCHEDULE,03/12/2019,07:30:00,03/12/2019,19:00:00,2016,839
Sea Princess,Auckland,ON SCHEDULE,04/12/2019,07:00:00,04/12/2019,22:00:00,2016,839
Caledonian Sky,Bluff,ON SCHEDULE,04/12/2019,14:00:00,04/12/2019,19:00:00,114,74
Coral Discoverer,Dunedin,ON SCHEDULE,04/12/2019,06:00:00,04/12/2019,19:00:00,72,20
Norwegian Jewel,Fiordland,ON SCHEDULE,04/12/2019,09:00:00,04/12/2019,18:30:00,2376,1100
Caledonian Sky,Riverton,CANCELLED,04/12/2019,09:00:00,04/12/2019,11:30:00,114,74
Celebrity Solstice,Tauranga,ON SCHEDULE,04/12/2019,08:00:00,04/12/2019,17:00:00,2850,1250
Caledonian Sky,Dunedin,ON SCHEDULE,05/12/2019,08:00:00,05/12/2019,10:00:00,114,74
Norwegian Jewel,Dunedin,ON SCHEDULE,05/12/2019,09:00:00,05/12/2019,19:00:00,2376,1100
Caledonian Sky,Moeraki,ON SCHEDULE,05/12/2019,14:00:00,05/12/2019,17:00:00,114,74
Coral Discoverer,Stewart Island,ON SCHEDULE,05/12/2019,09:00:00,05/12/2019,18:00:00,72,20
Caledonian Sky,Akaroa,ON SCHEDULE,06/12/2019,06:30:00,06/12/2019,19:00:00,114,74
Norwegian Jewel,Akaroa,ON SCHEDULE,06/12/2019,08:00:00,06/12/2019,18:00:00,2376,1100
MS Maasdam,Bay Of Islands,ON SCHEDULE,06/12/2019,12:00:00,06/12/2019,20:00:00,1258,580
Coral Discoverer,Fiordland,ON SCHEDULE,06/12/2019,06:00:00,08/12/2019,23:00:00,72,20
Caledonian Sky,Lyttelton,ON SCHEDULE,06/12/2019,13:00:00,06/12/2019,16:00:00,114,74
Celebrity Solstice,Wellington,ON SCHEDULE,06/12/2019,08:00:00,06/12/2019,17:00:00,2850,1250
